index,filename,source,config,chi,x,y,einsteinR,sigma,sigma2,theta,nterms
ss01,roulette-sis-s01.png,s,fs,50,24,-68,96.0,21,0,0,16
ss03,roulette-sis-s03.png,s,fs,50,57,-47,100.0,47,0,0,16
ss04,roulette-sis-s04.png,s,fs,50,-60,-50,50.0,5,0,0,16
ss05,roulette-sis-s05.png,s,fs,50,-20,-3,96.0,27,0,0,16
ss06,roulette-sis-s06.png,s,fs,50,-30,-25,40.0,20,0,0,16
ss11,roulette-sis-t11.png,t,fs,50,24,-68,96.0,21,0,0,16
ss12,roulette-sis-t12.png,t,fs,50,35,-29,6.0,43,0,30,16
ss13,roulette-sis-t13.png,t,fs,50,57,-47,100.0,47,0,75,16
ss14,roulette-sis-t14.png,t,fs,50,-60,-50,50.0,5,0,60,16
ss15,roulette-sis-t15.png,t,fs,50,-20,-3,96.0,27,0,115,16
e01,roulette-sis-e06.png,e,fs,50,24,-68,96.0,21,10,30,16
e02,roulette-sis-e07.png,e,fs,50,35,-29,6.0,43,10,30,16
e03,roulette-sis-e08.png,e,fs,50,57,-47,100.0,47,10,30,16
e04,roulette-sis-e09.png,e,fs,50,-60,-50,50.0,5,10,30,16
e05,roulette-sis-e10.png,e,fs,50,-20,-3,96.0,27,10,30,16
